Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Aratuípe (BA),0.435,0.575,0.486,0.57,0.631,0.753,0.268,0.443,0.326,0.5,0.181,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.95,278.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauá (SE),0.448,0.595,0.52,0.55,0.659,0.783,0.263,0.49,0.338,0.625,0.159,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.26,245.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araucária (PR),0.628,0.74,0.661,0.743,0.803,0.852,0.467,0.639,0.516,0.677,0.383,0.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.09,814.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araújos (MG),0.608,0.698,0.634,0.694,0.788,0.855,0.45,0.574,0.587,0.686,0.264,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.29,599.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araxá (MG),0.683,0.772,0.711,0.756,0.771,0.858,0.582,0.709,0.65,0.754,0.466,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.69,883.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceburgo (MG),0.571,0.683,0.646,0.687,0.725,0.81,0.397,0.573,0.482,0.679,0.269,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.72,576.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arco-Íris (SP),0.636,0.722,0.666,0.671,0.791,0.809,0.489,0.694,0.669,0.866,0.262,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.12,520.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcos (MG),0.669,0.749,0.672,0.717,0.825,0.874,0.541,0.671,0.629,0.75,0.401,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.58,691.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcoverde (PE),0.556,0.667,0.603,0.654,0.721,0.799,0.395,0.567,0.417,0.619,0.354,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.06,469.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areado (MG),0.605,0.727,0.68,0.7,0.785,0.847,0.415,0.649,0.472,0.784,0.32,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.87,622.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areal (RJ),0.611,0.684,0.668,0.686,0.751,0.823,0.454,0.566,0.492,0.622,0.386,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.35,571.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arealva (SP),0.662,0.744,0.679,0.718,0.797,0.84,0.536,0.683,0.695,0.837,0.319,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.93,697.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areia Branca (RN),0.55,0.682,0.578,0.647,0.715,0.79,0.402,0.621,0.457,0.692,0.312,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.34,449.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areia Branca (SE),0.44,0.579,0.493,0.579,0.719,0.773,0.241,0.434,0.308,0.53,0.147,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.68,294.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areia de Baraúnas (PB),0.385,0.562,0.444,0.566,0.591,0.68,0.218,0.462,0.326,0.585,0.098,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.9,270.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areial (PB),0.448,0.608,0.497,0.573,0.649,0.779,0.279,0.503,0.385,0.662,0.146,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.23,282.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areia (PB),0.425,0.594,0.5,0.593,0.643,0.756,0.239,0.467,0.286,0.572,0.166,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.98,319.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areias (SP),0.6,0.697,0.631,0.627,0.751,0.803,0.456,0.672,0.533,0.796,0.334,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.86,396.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areiópolis (SP),0.578,0.695,0.629,0.686,0.765,0.823,0.401,0.594,0.516,0.7,0.243,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.76,570.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenápolis (MT),0.587,0.704,0.615,0.677,0.696,0.793,0.473,0.649,0.582,0.749,0.313,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.4,540.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenópolis (GO),0.534,0.687,0.612,0.674,0.706,0.826,0.353,0.582,0.472,0.738,0.198,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.4,531.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arês (RN),0.463,0.606,0.509,0.587,0.642,0.725,0.303,0.523,0.352,0.618,0.224,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.39,309.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argirita (MG),0.551,0.643,0.604,0.645,0.759,0.817,0.364,0.505,0.474,0.617,0.215,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.88,442.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aricanduva (MG),0.413,0.582,0.474,0.553,0.697,0.787,0.213,0.454,0.288,0.595,0.116,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.94,249.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arinos (MG),0.514,0.656,0.548,0.607,0.744,0.815,0.334,0.57,0.426,0.662,0.206,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.04,349.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aripuanã (MT),0.528,0.675,0.688,0.682,0.715,0.816,0.299,0.553,0.353,0.627,0.215,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.24,558.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariquemes (RO),0.556,0.702,0.674,0.716,0.742,0.806,0.343,0.6,0.358,0.648,0.314,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.87,689.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariranha do Ivaí (PR),0.517,0.67,0.576,0.637,0.702,0.794,0.341,0.594,0.406,0.75,0.241,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.32,420.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariranha (SP),0.633,0.733,0.642,0.73,0.774,0.813,0.511,0.663,0.691,0.818,0.28,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.95,751.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armação dos Búzios (RJ),0.604,0.728,0.732,0.75,0.736,0.824,0.41,0.624,0.431,0.647,0.37,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.32,851.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armazém (SC),0.666,0.77,0.679,0.743,0.808,0.882,0.539,0.698,0.68,0.826,0.339,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.88,814.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arneiroz (CE),0.419,0.618,0.421,0.565,0.633,0.74,0.277,0.564,0.381,0.718,0.146,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.01,269.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroazes (PI),0.416,0.583,0.468,0.563,0.63,0.752,0.244,0.468,0.318,0.587,0.143,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.26,265.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroeiras do Itaim (PI),0.208,0.519,0.347,0.502,0.632,0.738,0.041,0.378,0.053,0.526,0.025,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.52,182.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroeiras (PB),0.382,0.548,0.469,0.537,0.632,0.745,0.188,0.411,0.255,0.541,0.103,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8,226.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arraial do Cabo (RJ),0.632,0.733,0.695,0.722,0.731,0.805,0.496,0.677,0.534,0.703,0.428,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.14,714.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arraial (PI),0.412,0.56,0.458,0.514,0.684,0.761,0.223,0.449,0.262,0.543,0.162,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.47,195.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arraias (TO),0.474,0.651,0.575,0.636,0.708,0.829,0.261,0.523,0.297,0.608,0.201,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.18,418.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio do Meio (RS),0.69,0.769,0.724,0.75,0.819,0.86,0.555,0.706,0.708,0.831,0.341,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.44,850.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio do Padre (RS),0.56,0.669,0.64,0.756,0.79,0.86,0.348,0.461,0.585,0.603,0.123,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.21,883.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio do Sal (RS),0.664,0.74,0.699,0.74,0.825,0.844,0.507,0.649,0.615,0.734,0.344,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.14,800.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio dos Ratos (RS),0.61,0.698,0.645,0.7,0.774,0.833,0.455,0.583,0.546,0.644,0.317,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.99,623.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio do Tigre (RS),0.568,0.707,0.635,0.708,0.754,0.848,0.382,0.589,0.495,0.748,0.227,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.31,654.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio Grande (RS),0.588,0.657,0.65,0.673,0.743,0.807,0.422,0.522,0.499,0.589,0.301,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.53,528.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroio Trinta (SC),0.67,0.764,0.662,0.781,0.851,0.873,0.535,0.653,0.675,0.791,0.337,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.08,1029.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artur Nogueira (SP),0.658,0.749,0.703,0.745,0.802,0.827,0.505,0.681,0.577,0.755,0.386,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.06,823.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruanã (GO),0.504,0.675,0.607,0.708,0.756,0.826,0.279,0.526,0.336,0.612,0.192,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.01,654.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arujá (SP),0.67,0.784,0.715,0.761,0.796,0.866,0.528,0.73,0.575,0.79,0.446,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.36,910.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvoredo (SC),0.569,0.715,0.626,0.713,0.819,0.842,0.359,0.61,0.523,0.781,0.169,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,675.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvorezinha (RS),0.593,0.694,0.683,0.713,0.737,0.817,0.414,0.575,0.534,0.718,0.249,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.8,675.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascurra (SC),0.603,0.742,0.676,0.739,0.777,0.868,0.417,0.636,0.516,0.757,0.272,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.5,793.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspásia (SP),0.629,0.735,0.607,0.699,0.812,0.864,0.506,0.657,0.695,0.819,0.268,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.36,619.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assaí (PR),0.618,0.728,0.626,0.724,0.753,0.833,0.501,0.641,0.57,0.711,0.386,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,723.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assaré (CE),0.37,0.6,0.445,0.573,0.647,0.783,0.176,0.482,0.214,0.623,0.119,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.68,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assis Brasil (AC),0.425,0.588,0.517,0.578,0.711,0.77,0.209,0.456,0.215,0.475,0.197,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.63,291.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assis Chateaubriand (PR),0.678,0.729,0.715,0.713,0.803,0.857,0.544,0.633,0.656,0.737,0.375,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.92,676.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assis (SP),0.728,0.805,0.739,0.771,0.806,0.865,0.648,0.781,0.729,0.831,0.512,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.13,967.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assunção do Piauí (PI),0.341,0.499,0.486,0.462,0.603,0.706,0.135,0.382,0.232,0.509,0.046,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3,141.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assunção (PB),0.406,0.609,0.499,0.601,0.608,0.738,0.221,0.51,0.311,0.66,0.111,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.82,336.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astolfo Dutra (MG),0.632,0.694,0.64,0.686,0.807,0.858,0.488,0.567,0.588,0.663,0.336,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.89,572.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astorga (PR),0.639,0.747,0.675,0.754,0.741,0.818,0.522,0.675,0.614,0.786,0.377,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.05,875.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalaia (AL),0.407,0.561,0.474,0.545,0.701,0.752,0.203,0.431,0.234,0.537,0.153,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.85,237.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalaia do Norte (AM),0.348,0.45,0.469,0.481,0.665,0.733,0.135,0.259,0.135,0.275,0.134,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.86,159.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
